id	disciplina
1	Moodle Unesc
8	9A.34.3 - SISTEMAS ESTRUTURAIS EM MADEIRA E AÇO
9	9A.34.3 - MECÂNICA DOS SOLOS II
10	9A.34.3 - ESTÁGIO SUPERVISIONADO I
11	9A.34.3 - SISTEMAS DE ABASTECIMENTO
12	9A.34.3 - SISTEMA DE ESGOTO E DRENAGEM
13	9A.34.3 - ENGENHARIA DE TRANSPORTE
14	7A.34.3 - HIDROLOGIA
15	7A.34.3 - TOPOGRAFIA
16	7A.34.3 - MECÂNICA DOS SOLOS I
17	7A.34.3 - CONCRETO ARMADO I
18	7A.34.3 - NOÇÕES DE ECONOMIA PARA ENGENHARIA
19	5A.34.3 - ANÁLISE DE ESTRUTURAS II
20	5A.34.3 - MATERIAIS DE CONSTRUÇÃO I
21	5A.34.3 - RESISTÊNCIA DOS MATERIAIS I
22	5A.34.3 - CÁLCULO NUMÉRICO COMPUTACIONAL
23	5A.34.3 - FENÔMENOS DE TRANSPORTE
24	1A.34.3 - FUNDAMENTOS DA ENGENHARIA
25	1A.34.3 - FUNDAMENTOS DE CÁLCULO
26	1A.34.3 - LÓGICA MATEMÁTICA E ALGORITMO
27	1A.34.3 - QUÍMICA TECNOLÓGICA
28	1A.34.3 - PROJETO INTEGRADOR: EXPRESSÃO GRÁFICA
29	3A.47.3 - PROJETO INTEGRADOR: GESTÃO AMBIENTAL
30	3A.47.3 - RESISTÊNCIA DOS MATERIAIS
31	3A.47.3 - FENÔMENOS DE TRANSPORTE
32	3A.47.3 - METODOLOGIA CIENTÍFICA E PESQUISA
33	1A.35.3 - FUNDAMENTOS DE CÁLCULO
34	1A.35.3 - LÓGICA MATEMÁTICA E ALGORITMO
35	1A.35.3 - QUÍMICA TECNOLÓGICA
36	1A.35.3 - PROJETO INTEGRADOR: EXPRESSÃO GRÁFICA
37	1A.35.3 - FUNDAMENTOS DA ENGENHARIA
38	2A.35.3 - QUÍMICA TECNOLÓGICA
39	2A.35.3 - FUNDAMENTOS DA ENGENHARIA
40	2A.35.3 - PROJETO INTEGRADOR: EXPRESSÃO GRÁFICA
41	2A.35.3 - FUNDAMENTOS DE CÁLCULO
42	2A.35.3 - LÓGICA MATEMÁTICA E ALGORITMO
43	3A.35.3 - FENÔMENOS DE TRANSPORTE
44	3A.35.3 - RESISTÊNCIA DOS MATERIAIS
45	3A.35.3 - PROJETO INTEGRADOR: GESTÃO AMBIENTAL
46	3A.35.3 - METODOLOGIA CIENTÍFICA E PESQUISA
47	5A.35.3 - FATORES DE PRODUÇÃO AGRÍCOLA
48	5A.35.3 - DESENHO ASSISTIDO POR COMPUTADOR
